plotID,treeID,sp,D,X,Y,ht,CWe,CWn,CWw,CWs,Xrange,Yrange
JZR-1,53,larix,6.5,2.7,7,8.9,3.1,2.9,3.1,2.9,20,20
JZR-1,66,larix,7.3,15.5,3.2,9.8,2,2.8,2,2.8,20,20
JZR-1,17,larix,7.4,7.7,16.1,7.6,2.9,2.4,2.9,2.4,20,20
JZR-1,2,larix,7.8,7.7,10.9,10.4,2.4,2.7,2.4,2.7,20,20
JZR-1,39,larix,8,11.2,18.8,9.8,3.4,3.5,3.4,3.5,20,20
JZR-1,33,larix,8.5,17.9,15,12.2,3,3.1,3,3.1,20,20
JZR-1,32,larix,9,16.3,14.8,9.5,2.7,2.9,2.7,2.9,20,20
JZR-1,51,larix,9.1,8.2,4.9,13.3,3.4,3.2,3.4,3.2,20,20
JZR-1,6,larix,9.3,3.8,12.5,12,2,2,2,2,20,20
JZR-1,34,larix,9.7,19.4,15,12,4.3,4.2,4.3,4.2,20,20
JZR-1,40,larix,10,12.4,19,10.1,1.6,1.6,1.6,1.6,20,20
JZR-1,52,larix,10.4,6,6.1,12.2,3.8,3.3,3.8,3.3,20,20
JZR-1,12,larix,10.4,7.5,15.8,12.8,4.6,3.9,4.6,3.9,20,20
JZR-1,35,larix,10.6,19.8,17.1,9.6,1.7,2.3,1.7,2.3,20,20
JZR-1,55,larix,10.7,6.4,7.8,12.3,4.1,3.7,4.1,3.7,20,20
JZR-1,16,larix,10.7,5.2,17.8,12.8,3.8,3.7,3.8,3.7,20,20
JZR-1,10,larix,10.8,4.1,14.7,13.4,2.3,2.2,2.3,2.2,20,20
JZR-1,47,larix,11,9.9,3,11.4,2.1,2.2,2.1,2.2,20,20
JZR-1,21,larix,11.2,0.7,18.6,10.6,2.7,3.9,2.7,3.9,20,20
JZR-1,8,larix,11.4,0.8,12.7,10.7,3.3,3,3.3,3,20,20
JZR-1,71,larix,11.4,20,4.9,13.6,3.5,4.3,3.5,4.3,20,20
JZR-1,28,larix,12,13.7,12.7,10.4,3.6,3.1,3.6,3.1,20,20
JZR-1,37,larix,12.1,15.7,16.9,12.2,4,3.5,4,3.5,20,20
JZR-1,7,larix,12.1,2.3,12.9,12.9,4.1,3.8,4.1,3.8,20,20
